Make,Model,Variant,Year,Location,Fuel,Engine,Transmission,KM_driven,Car_Age,Price_in_lacs
proton,saga,1.3l ace a/t,2022,Islamabad,Petrol,1300.0,Automatic,37000,3,34.0
toyota,corolla,altis automatic 1.6,2016,Rawalpindi,Petrol,1600.0,Automatic,97500,9,36.75
daihatsu,boon,cilq,2021,Karachi,Petrol,1000.0,Automatic,62100,4,39.96
honda,civic reborn,vti oriel prosmatec 1.8 i-vtec,2006,Lahore,Petrol,1800.0,Automatic,95000,19,23.25
daihatsu,move,custom rs sa,2013,Karachi,Petrol,660.0,Automatic,108000,12,24.0
toyota,corolla,xli vvti,2013,Karachi,Petrol,1300.0,Manual,10000,12,41.0
toyota,voxy,hybrid x,2016,Lahore,Hybrid,1800.0,Automatic,120200,9,71.5
honda,br-v,i-vtec,2018,Lahore,Petrol,1500.0,Automatic,95000,7,42.0
suzuki,alto,vxr,2023,Lahore,Petrol,660.0,Manual,32000,2,27.0
mg,hs,trophy,2021,Lahore,Petrol,1500.0,Automatic,32000,4,63.0
honda,city,aspire prosmatec 1.5 i-vtec,2019,Lahore,Petrol,1500.0,Automatic,63750,6,42.5
toyota,prius alpha,s touring,2013,Lahore,Hybrid,1800.0,Automatic,89000,12,51.5
suzuki,cultus,euro ii,2012,Rawalpindi,Petrol,1000.0,Manual,107000,13,16.0
honda,city,1.2l cvt,2021,Karachi,Petrol,1200.0,Automatic,33900,4,41.5
haval,h6,hev,2025,Lahore,Hybrid,1500.0,Automatic,1,0,127.0
suzuki,cultus,limited edition,2016,Lahore,Petrol,1000.0,Manual,55000,9,17.5
honda,city,1.3 i-vtec,2018,Lahore,Petrol,1300.0,Manual,60000,7,34.9
dfsk,glory 580,pro,2021,Lahore,Petrol,1500.0,Automatic,19800,4,45.9
toyota,surf,ssr-x 2.7,2003,Islamabad,Petrol,2700.0,Automatic,140000,22,65.0
toyota,voxy,hybrid x,2016,Lahore,Hybrid,1800.0,Automatic,120200,9,71.5
honda,br-v,i-vtec,2018,Lahore,Petrol,1500.0,Automatic,95000,7,42.0
baic,bj40 plus,honorable edition,2022,Karachi,Petrol,2000.0,Automatic,45000,3,74.0
suzuki,mehran,vxr euro ii,2016,D.G.Khan,Petrol,800.0,Manual,53000,9,13.5
dfsk,glory 580,1.5 cvt,2020,Karachi,Petrol,1500.0,Automatic,46000,5,42.0
daihatsu,mira,custom x,2011,Islamabad,Petrol,660.0,Automatic,102000,14,19.5
toyota,corolla,gli 1.3 vvti,2017,Melsi,Petrol,1300.0,Manual,150000,8,35.25
honda,city,exi,2001,Shuja Abad,LPG,1300.0,Manual,150000,24,9.8
toyota,land cruiser,zx,2016,Karachi,Petrol,4600.0,Automatic,73000,9,357.0
honda,civic,1.5 rs turbo,2020,Faisalabad,Petrol,1500.0,Automatic,66494,5,75.0
suzuki,mehran,vx euro ii,2015,Wah cantt,Petrol,796.0,Manual,145000,10,12.1
hyundai,santro,club,2005,Lahore,Petrol,1000.0,Manual,60650,20,9.9
suzuki,hustler,g turbo,2014,Lahore,Petrol,660.0,Automatic,102000,11,23.25
daihatsu,hijet,special,2021,Karachi,Petrol,660.0,Automatic,148000,4,23.49
daihatsu,move,l,2020,Karachi,Petrol,660.0,Automatic,31000,5,31.5
suzuki,alto,l,2020,Lahore,Petrol,660.0,Automatic,68000,5,25.45
dfsk,glory 580,pro,2022,Islamabad,Petrol,1500.0,Automatic,30000,3,52.5
suzuki,mehran,vx,2009,Islamabad,Petrol,800.0,Manual,150000,16,7.5
suzuki,swift,dx 1.3,2010,Karachi,Petrol,1300.0,Manual,175,15,16.98
suzuki,margalla,glx,1998,Karachi,LPG,1300.0,Manual,65000,27,5.65
suzuki,swift,glx cvt,2025,Islamabad,Petrol,1200.0,Automatic,2500,0,52.5
toyota,corolla,altis automatic 1.6,2021,Lahore,Petrol,1600.0,Automatic,66000,4,55.0
toyota,aqua,s,2020,Karachi,Hybrid,1500.0,Automatic,78900,5,64.98
daihatsu,mira,x sa lll,2022,Lahore,Petrol,660.0,Automatic,33000,3,34.0
honda,spike,+ hybrid ex,2016,Karachi,Hybrid,1500.0,Automatic,65500,9,37.0
honda,civic,oriel 1.8 i-vtec cvt,2018,Gujrat,Petrol,1800.0,Automatic,85000,7,53.5
hyundai,tucson,fwd a/t gls sport,2023,Islamabad,Petrol,2000.0,Automatic,54000,2,74.95
haval,h6,2.0t awd,2023,Lahore,Petrol,2000.0,Automatic,43000,2,95.0
honda,city,i-vtec,2011,Karachi,Petrol,1300.0,Manual,95000,14,24.0
toyota,corolla,altis grande cvt-i 1.8,2020,Lahore,Petrol,1800.0,Automatic,80000,5,62.0
toyota,prius,a premium,2016,Karachi,Hybrid,1800.0,Automatic,188000,9,60.0
kia,sportage,awd,2020,Karachi,Petrol,2000.0,Automatic,19800,5,72.0
toyota,land cruiser,zx,2017,Karachi,Petrol,4608.0,Automatic,70000,8,395.0
honda,city,exi,2003,Hyderabad,Petrol,1300.0,Manual,147000,22,14.75
toyota,corolla cross,1.8 hev x,2024,Karachi,Hybrid,1800.0,Automatic,3380,1,89.85
toyota,corolla,gli 1.3,2008,Hyderabad,Petrol,1300.0,Manual,264850,17,19.75
daihatsu,mira,x sa lll,2022,Lahore,Petrol,660.0,Automatic,33000,3,34.0
suzuki,mehran,vx euro ii,2017,Lahore,Petrol,796.0,Manual,89000,8,12.7
daihatsu,mira,g sa iii,2021,Karachi,Petrol,660.0,Automatic,14229,4,38.97
toyota,corolla,gli 1.3 vvti,2011,Islamabad,Petrol,1300.0,Manual,140000,14,28.5
honda,city,1.3 i-vtec,2021,Rahim Yar Khan,Petrol,1300.0,Manual,62000,4,43.0
toyota,aqua,s,2020,Karachi,Hybrid,1500.0,Automatic,50000,5,62.0
toyota,passo,x,2013,Islamabad,Petrol,1000.0,Automatic,178635,12,28.0
honda,city,1.5 i-vtec,2018,Rawalpindi,Petrol,1500.0,Manual,100000,7,37.0
toyota,yaris sedan,ativ x cvt 1.5,2020,Lahore,Petrol,1500.0,Automatic,115000,5,46.0
daihatsu,taft,x turbo,2021,Gujranwala,Petrol,660.0,Automatic,6275,4,38.0
honda,br-v,i-vtec s,2019,Lahore,Petrol,1500.0,Automatic,61500,6,45.0
suzuki,swift,dlx 1.3 navigation,2018,Karachi,Petrol,1300.0,Manual,89000,7,26.0
lexus,rx series,450h,2015,Islamabad,Petrol,3500.0,Automatic,100247,10,225.0
suzuki,alto,hybrid s,2022,Karachi,Petrol,660.0,Automatic,12994,3,33.93
toyota,vitz,f 1.0,2007,Karachi,Petrol,1000.0,Automatic,180876,18,19.0
toyota,corolla,gli automatic 1.3 vvti,2020,Lahore,Petrol,1300.0,Automatic,60000,5,49.0
suzuki,bolan,vx,1989,Karachi,Petrol,800.0,Manual,100000,36,3.35
suzuki,khyber,ga,1996,Faisalabad,Petrol,1000.0,Manual,10000,29,6.0
suzuki,bolan,vx euro ii,2022,Lahore,Petrol,800.0,Manual,4800,3,21.5
suzuki,cultus,euro ii,2014,Lahore,Petrol,1000.0,Manual,74000,11,16.35
mitsubishi,ek custom,t,2014,Lahore,Petrol,660.0,Automatic,83313,11,23.0
toyota,hilux,vigo champ g,2013,Gujrat,Diesel,2500.0,Automatic,157000,12,62.4
dfsk,glory 580,pro,2021,Islamabad,Petrol,1500.0,Automatic,56500,4,46.0
honda,vezel,hybrid z,2015,Lahore,Hybrid,1500.0,Automatic,103392,10,53.95
toyota,corolla,gli 1.3,2008,Hyderabad,Petrol,1300.0,Manual,264850,17,19.75
honda,city,1.5 i-vtec,2017,Karachi,Petrol,1500.0,Manual,111000,8,32.5
honda,civic,1.5 vtec turbo oriel,2022,Karachi,Petrol,1500.0,Automatic,26000,3,78.0
suzuki,cultus,vx (cng),2005,Islamabad,Petrol,1000.0,Manual,124536,20,10.5
suzuki,cultus,auto gear shift,2021,Karachi,Petrol,1000.0,Automatic,75000,4,32.9
suzuki,every,join turbo,2020,Sialkot,Petrol,660.0,Automatic,118000,5,29.45
honda,civic,oriel 1.8 i-vtec cvt,2021,Karachi,Petrol,1800.0,Automatic,50000,4,59.95
hyundai,tucson,awd a/t ultimate,2023,Lahore,Petrol,2000.0,Automatic,45000,2,81.5
suzuki,cultus,limited edition,2016,Lahore,Petrol,1000.0,Manual,136521,9,16.1
mazda,carol,gf,2022,Bahawalpur,Petrol,660.0,Automatic,6007,3,36.99
toyota,hilux,revo v automatic 3.0,2017,Karachi,Diesel,3000.0,Automatic,113000,8,95.0
honda,vezel,hybrid z,2015,Lahore,Hybrid,1500.0,Automatic,103392,10,53.95
honda,civic,oriel 1.8 i-vtec cvt,2017,Kharian,Petrol,1800.0,Automatic,75000,8,53.7
suzuki,alto,vxr,2005,Islamabad,Petrol,1000.0,Manual,366000,20,7.5
suzuki,swift,glx cvt,2024,Lahore,Petrol,1200.0,Automatic,33000,1,47.5
daihatsu,cuore,cx eco,2008,Gujranwala,Petrol,800.0,Manual,85000,17,11.95
toyota,aqua,g,2013,Lahore,Hybrid,1500.0,Automatic,177000,12,36.1
toyota,yaris sedan,gli cvt 1.3,2021,Lahore,Petrol,1300.0,Automatic,71600,4,40.5
honda,n wgn,custom,2022,Islamabad,Petrol,660.0,Automatic,25200,3,36.5
honda,civic,vti oriel prosmatec 1.8 i-vtec,2007,Lahore,Petrol,1800.0,Automatic,170000,18,23.7
honda,br-v,i-vtec s,2023,Karachi,Petrol,1500.0,Automatic,14300,2,58.0
changan,karvaan,plus,2021,Vehari,Petrol,1000.0,Manual,24566,4,24.0
toyota,prius,s 1.8,2013,Islamabad,Hybrid,1800.0,Automatic,241295,12,45.0
mitsubishi,ek wagon,e,2015,Lahore,Petrol,660.0,Automatic,72430,10,22.5
jw,forland bravo,3.0+,2023,Karachi,Diesel,2700.0,Manual,3800,2,45.0
daihatsu,mira,l sa iii,2021,Islamabad,Petrol,660.0,Automatic,18500,4,37.0
suzuki,alto,vxr,2023,Karachi,Petrol,660.0,Manual,27000,2,26.0
daihatsu,mira,g sa iii,2022,Islamabad,Petrol,660.0,Automatic,30000,3,33.5
suzuki,cultus,vxr (cng),2004,Lahore,Petrol,1000.0,Manual,150000,21,7.3
honda,civic rebirth,vti oriel prosmatec 1.8 i-vtec,2014,Islamabad,Petrol,1800.0,Automatic,115000,11,42.0
suzuki,alto,vx,2006,Karachi,Petrol,1000.0,Manual,1,19,7.4
mazda,carol,gs,2012,Rawalpindi,Petrol,660.0,Automatic,121000,13,23.5
suzuki,alto,gii,2007,Islamabad,Petrol,660.0,Automatic,117000,18,17.7
honda,accord,cl9,2005,Islamabad,Petrol,2400.0,Automatic,85000,20,25.0
toyota,corolla,gli automatic 1.6 vvti,2014,Lahore,Petrol,1600.0,Automatic,306838,11,31.0
honda,city,i-dsi,2004,Peshawar,Petrol,1300.0,Manual,115000,21,18.0
toyota,c-hr,g-led,2017,Faisalabad,Hybrid,1800.0,Automatic,111000,8,72.75
honda,accord,24tl sports style,2010,Faisalabad,Petrol,2400.0,Automatic,72000,15,44.75
toyota,raize,z,2020,Islamabad,Petrol,1000.0,Automatic,55000,5,62.5
changan,alsvin,1.5l dct lumiere,2024,Lahore,Petrol,1500.0,Automatic,19000,1,43.5
hyundai,sonata,2.5,2022,Lahore,Petrol,2500.0,Automatic,16000,3,94.5
kia,sportage,black limited edition,2024,Lahore,Petrol,2000.0,Automatic,25000,1,87.9
toyota,corolla,altis grande x cvt-i 1.8 beige interior,2022,Mangla,Petrol,1800.0,Automatic,68000,3,67.5
daihatsu,cuore,cx eco,2007,Lahore,Petrol,800.0,Manual,85000,18,11.25
toyota,passo,plus hana c,2011,Karachi,Petrol,1000.0,Automatic,88000,14,22.9
suzuki,cultus,vxl,2021,Lahore,Petrol,1000.0,Manual,85000,4,30.25
suzuki,alto,vxl ags,2021,Karachi,Petrol,660.0,Automatic,48000,4,26.8
kia,sportage,awd,2021,Islamabad,Petrol,2000.0,Automatic,20500,4,70.5
suzuki,mehran,vxr euro ii,2013,Karachi,Petrol,800.0,Manual,100000,12,10.0
suzuki,baleno,gxi,1999,Karachi,Petrol,1300.0,Manual,160000,26,8.5
suzuki,mehran,vx euro ii limited edition,2019,Islamabad,Petrol,796.0,Manual,87000,6,18.5
honda,civic reborn,vti oriel prosmatec 1.8 i-vtec,2010,Karachi,Petrol,1800.0,Automatic,90000,15,22.8
honda,civic,oriel 1.8 i-vtec cvt,2017,Islamabad,Petrol,1800.0,Automatic,90000,8,49.5
toyota,passo,x,2022,Peshawar,Petrol,1000.0,Automatic,62000,3,42.25
suzuki,mehran,vx,1991,Lahore,Petrol,800.0,Manual,100000,34,2.7
suzuki,cultus,vxr (cng),2004,Sarai alamgir,Petrol,1000.0,Manual,70000,21,8.0
toyota,raize,g,2021,Islamabad,Petrol,1000.0,Automatic,19000,4,59.0
suzuki,alto,vxl ags,2022,Wah cantt,Petrol,660.0,Automatic,28508,3,29.3
suzuki,cultus,vxr,2002,Karachi,Petrol,1000.0,Manual,870000,23,6.5
suzuki,mehran,vxr,2009,Rawalpindi,Petrol,800.0,Manual,56000,16,6.65
honda,br-v,i-vtec s,2020,Islamabad,Petrol,1500.0,Automatic,60000,5,49.5
toyota,corolla,altis 1.6 x cvt-i special edition,2023,Karachi,Petrol,1600.0,Automatic,18600,2,65.0
suzuki,mehran,vx euro ii,2013,Multan,Petrol,796.0,Manual,46400,12,10.2
honda,civic,oriel 1.8 i-vtec cvt,2017,Islamabad,Petrol,1800.0,Automatic,117000,8,49.5
toyota,passo,x l package s,2019,Rawalpindi,Petrol,1000.0,Automatic,44000,6,40.0
suzuki,hustler,hybrid g,2023,Gujranwala,Hybrid,660.0,Automatic,9168,2,37.5
haval,jolion,hev,2024,Lahore,Hybrid,1500.0,Automatic,12729,1,97.0
suzuki,mehran,vx,2010,Rawalpindi,Petrol,800.0,Manual,31910,15,9.0
suzuki,cultus,vxl,2021,Lahore,Petrol,1000.0,Manual,85000,4,30.25
honda,civic,oriel 1.8 i-vtec cvt,2018,Peshawar,Petrol,1800.0,Automatic,68273,7,57.0
toyota,aqua,s,2014,Karachi,Hybrid,1500.0,Automatic,102000,11,34.5
nissan,clipper,dx,2011,Karachi,Petrol,660.0,Automatic,88000,14,12.8
toyota,corolla,gli 1.3 vvti,2019,Karachi,Petrol,1300.0,Manual,74178,6,38.5
honda,br-v,i-vtec mt,2018,Karachi,Petrol,1500.0,Manual,84000,7,34.5
honda,city,1.3 i-vtec prosmatec,2021,Karachi,Petrol,1300.0,Automatic,105000,4,38.5
honda,city,i-dsi,2008,Lahore,Petrol,1300.0,Manual,150000,17,21.0
toyota,prius,g touring selection leather package 1.8,2010,Lahore,Hybrid,1800.0,Automatic,136000,15,43.1
toyota,passo,x g package,2020,Mardan,Petrol,1000.0,Automatic,23000,5,39.5
toyota,hilux,revo g 3.0,2017,Lahore,Diesel,3000.0,Manual,112000,8,72.0
toyota,raize,z,2021,Lahore,Petrol,1000.0,Automatic,62598,4,60.0
suzuki,mehran,vx,2010,Rawalpindi,Petrol,800.0,Manual,31910,15,9.0
audi,a3,1.2 tfsi standard,2016,Karachi,Petrol,1200.0,Automatic,61042,9,62.0
mazda,carol,gii,2009,Islamabad,Petrol,660.0,Automatic,149568,16,17.1
toyota,raize,z,2020,Islamabad,Petrol,1000.0,Automatic,78000,5,63.0
honda,civic reborn,vti prosmatec 1.8 i-vtec,2008,Lahore,Petrol,1800.0,Automatic,290000,17,19.5
toyota,prius,s safety plus ii,2020,Islamabad,Hybrid,1800.0,Automatic,25383,5,86.0
toyota,premio,f 1.5,2004,Faisalabad,Petrol,1500.0,Automatic,167000,21,27.25
toyota,yaris sedan,ativ cvt 1.3,2022,Lahore,Petrol,1300.0,Automatic,54000,3,45.75
daihatsu,charade,cl,1986,Karachi,Diesel,1000.0,Manual,250000,39,2.8
honda,civic,oriel 1.8 i-vtec cvt,2018,Karachi,Petrol,1800.0,Automatic,78000,7,47.45
suzuki,wagon r,vxl,2017,Faisalabad,Petrol,1000.0,Manual,100000,8,21.0
suzuki,cultus,vxr,2022,Lahore,Petrol,1000.0,Manual,51000,3,30.0
suzuki,alto,vxl ags,2023,Lahore,Petrol,660.0,Automatic,36000,2,29.45
toyota,corolla,xli vvti,2010,Lahore,Petrol,1300.0,Manual,190000,15,24.5
honda,city,1.5l aspire cvt,2025,Peshawar,Petrol,1500.0,Automatic,3000,0,62.5
toyota,vitz,f safety 1.0,2018,Faisalabad,Petrol,1000.0,Automatic,105000,7,39.5
toyota,corolla,altis 1.6 x cvt-i special edition,2022,Karachi,Petrol,1600.0,Automatic,9500,3,61.75
toyota,corolla,xli,2005,Hyderabad,Petrol,1300.0,Manual,161000,20,13.0
suzuki,alto,l upgrade,2021,Tando adam,Petrol,660.0,Automatic,38000,4,35.75
toyota,corolla,altis 1.6 x cvt-i,2022,Rawalpindi,Petrol,1600.0,Automatic,57000,3,59.98
toyota,yaris hatchback,x,2021,Lahore,Petrol,1000.0,Automatic,64500,4,45.9
suzuki,swift,dlx 1.3 navigation,2019,Karachi,Petrol,1300.0,Manual,87000,6,24.5
suzuki,baleno,jxr,2003,Lahore,Petrol,1300.0,Manual,86918,22,10.0
suzuki,swift,glx cvt,2025,Karachi,Petrol,1200.0,Automatic,5,0,50.5
suzuki,every,join turbo,2022,Karachi,Petrol,660.0,Automatic,200000,3,26.75
toyota,prado,tx l package 2.7,2020,Lahore,Petrol,2700.0,Automatic,25150,5,243.0
toyota,vitz,f 1.0,2007,Karachi,Petrol,1000.0,Automatic,135000,18,19.5
toyota,corolla,gli automatic 1.6 vvti,2012,Islamabad,Petrol,1600.0,Automatic,155555,13,32.0
kia,stonic,ex+,2024,Karachi,Petrol,1400.0,Automatic,4000,1,58.9
suzuki,swift,glx cvt,2025,Karachi,Petrol,1200.0,Automatic,40,0,50.5
suzuki,cultus,euro ii,2015,Islamabad,Petrol,1000.0,Manual,44989,10,18.5
toyota,fortuner,2.8 sigma 4,2021,Islamabad,Diesel,2800.0,Automatic,76000,4,148.0
suzuki,mehran,vx euro ii,2016,Hyderabad,Petrol,796.0,Manual,47000,9,11.8
suzuki,cultus,vxri,2010,Rawalpindi,Petrol,1000.0,Manual,139000,15,13.5
honda,city,aspire 1.5 i-vtec,2015,Lahore,Petrol,1500.0,Manual,105000,10,31.5
suzuki,cultus,vxr,2004,Rawalpindi,Petrol,1000.0,Manual,100000,21,8.3
suzuki,alto,vxl ags,2022,Lahore,Petrol,660.0,Automatic,45000,3,27.5
toyota,corolla,altis x automatic 1.6,2022,Rawalpindi,Petrol,1598.0,Automatic,32000,3,56.0
toyota,prado,tx l package 2.7,2019,Islamabad,Petrol,2700.0,Automatic,135000,6,268.0
toyota,corolla,altis grande cvt-i 1.8,2019,Rawalpindi,Petrol,1800.0,Automatic,65000,6,53.5
honda,civic reborn,vti oriel prosmatec 1.8 i-vtec,2011,Lahore,Petrol,1800.0,Automatic,126000,14,28.5
haval,h6,hev,2024,Islamabad,Hybrid,1500.0,Automatic,23900,1,116.0
toyota,land cruiser,zx,2016,Lahore,Petrol,4600.0,Automatic,55000,9,365.0
hyundai,excel,basegrade,1992,Abbottabad,CNG,1500.0,Manual,100000,33,2.8
suzuki,mehran,vxr (cng),2005,Islamabad,Petrol,800.0,Manual,256000,20,6.5
toyota,corolla cross,1.8 hev x,2024,Faisalabad,Hybrid,1800.0,Automatic,22956,1,88.0
toyota,aqua,s,2015,Islamabad,Hybrid,1500.0,Automatic,190000,10,42.5
toyota,corolla,altis automatic 1.6,2018,Karachi,Petrol,1600.0,Automatic,78000,7,43.0
suzuki,wagon r,vxr,2019,Taxila,Petrol,1000.0,Manual,140000,6,23.0
suzuki,alto,vxl ags,2019,Lahore,Petrol,660.0,Automatic,86000,6,24.4
hyundai,santro,club,2004,Islamabad,Petrol,1000.0,Manual,200000,21,11.99
kia,stonic,ex+,2024,Karachi,Petrol,1400.0,Automatic,4000,1,58.9
suzuki,swift,glx cvt,2025,Karachi,Petrol,1200.0,Automatic,40,0,50.5
haval,h6,hev,2023,Islamabad,Hybrid,1500.0,Automatic,58900,2,108.0
daihatsu,hijet,special,2020,Karachi,Petrol,660.0,Automatic,35604,5,28.95
toyota,passo,x,2022,Karachi,Petrol,1000.0,Automatic,2800,3,44.5
toyota,aqua,s,2021,Karachi,Hybrid,1500.0,Automatic,26000,4,75.0
toyota,prius,s led edition 1.8,2015,Karachi,Hybrid,1800.0,Automatic,109000,10,51.3
toyota,corolla,gli 1.3 vvti,2015,Islamabad,Petrol,1300.0,Manual,115000,10,36.75
toyota,fortuner,2.7 v,2021,Faisalabad,Petrol,2700.0,Automatic,22000,4,132.0
suzuki,mehran,vx euro ii,2017,Islamabad,Petrol,800.0,Manual,105901,8,14.25
suzuki,wagon r,vxr,2019,Taxila,Petrol,1000.0,Manual,140000,6,23.0
suzuki,alto,vxl ags,2019,Lahore,Petrol,660.0,Automatic,86000,6,24.4
hyundai,santro,club,2004,Islamabad,Petrol,1000.0,Manual,200000,21,11.99
daihatsu,taft,g turbo,2023,Rawalpindi,Petrol,660.0,Automatic,4700,2,44.5
daihatsu,cuore,cx automatic,2004,Rawalpindi,Petrol,800.0,Automatic,280,21,10.7
toyota,corolla,xli vvti,2009,Rawalpindi,Petrol,1300.0,Manual,105000,16,30.0
mitsubishi,lancer,glx automatic 1.6,2005,Lahore,Petrol,1600.0,Automatic,280000,20,13.5
suzuki,mehran,vxr euro ii,2016,Islamabad,Petrol,796.0,Manual,65000,9,13.5
honda,civic,1.5 vtec turbo oriel,2020,Islamabad,Petrol,1500.0,Automatic,85000,5,62.0
toyota,raize,xs,2021,Lahore,Petrol,1000.0,Automatic,16800,4,52.5
honda,city,1.3 i-vtec,2016,Peshawar,Petrol,1300.0,Manual,73900,9,37.0
suzuki,cultus,euro ii,2014,Karachi,Petrol,1000.0,Manual,47000,11,13.98
honda,civic,oriel 1.8 i-vtec cvt,2020,Lahore,Petrol,1800.0,Automatic,50000,5,61.5
changan,alsvin,1.5l dct lumiere,2022,Lahore,Petrol,1500.0,Automatic,43975,3,40.0
kia,sportage,fwd,2024,Karachi,Petrol,2000.0,Automatic,8366,1,82.5
toyota,corolla,xli,2005,Peshawar,Petrol,1300.0,Manual,188800,20,19.8
suzuki,baleno,jxr,2005,Karachi,Petrol,1300.0,Manual,100000,20,9.5
toyota,corolla,gli automatic 1.3 vvti,2019,Lahore,Petrol,1300.0,Automatic,81300,6,46.0
toyota,vitz,fl 1.0,2001,Kot addu,Petrol,1000.0,Automatic,90000,24,19.0
suzuki,alto,vxr,2024,Kohat,Petrol,660.0,Manual,6000,1,29.5
toyota,prius alpha,s,2014,Lahore,Hybrid,1800.0,Automatic,187000,11,45.0
suzuki,swift,gl manual,2025,Rawalpindi,Petrol,1200.0,Manual,351,0,46.0
jac,t9,hunter,2025,Rawalpindi,Diesel,2000.0,Automatic,189,0,118.0
honda,city,1.3 i-vtec prosmatec,2020,Islamabad,Petrol,1300.0,Automatic,110000,5,38.25
toyota,raize,g,2021,Karachi,Petrol,1000.0,Automatic,19000,4,60.5
honda,civic,vti oriel prosmatec 1.8 i-vtec,2009,Lahore,Petrol,1800.0,Automatic,124000,16,26.75
toyota,corolla,altis sr cruisetronic 1.6,2013,Karachi,Petrol,1600.0,Automatic,106000,12,34.25
toyota,coaster,29 seater f/l,2020,Karachi,Diesel,4000.0,Automatic,57000,5,249.0
lexus,lx series,lx570,2020,Lahore,Petrol,5700.0,Automatic,25829,5,699.0
hyundai,tucson,awd a/t ultimate (black interior),2023,Lahore,Petrol,2000.0,Automatic,27000,2,81.5
toyota,passo,x l package s,2023,Lahore,Petrol,1000.0,Automatic,25000,2,44.0
toyota,hiace,gl,2020,Lahore,Petrol,2700.0,Automatic,41000,5,87.0
range rover,autobiography,p400e,2018,Lahore,Hybrid,2000.0,Automatic,45000,7,547.0
toyota,yaris hatchback,x,2022,Lahore,Petrol,1000.0,Automatic,96000,3,44.0
nissan,dayz,bolero j,2016,Karachi,Petrol,660.0,Automatic,83000,9,23.5
toyota,vitz,f 1.0,2012,Lahore,Petrol,1000.0,Automatic,110000,13,27.5
suzuki,mehran,vx,2012,Rawalpindi,Petrol,800.0,Manual,85000,13,11.5
suzuki,mehran,vxr euro ii,2015,Faisalabad,Petrol,800.0,Manual,250000,10,9.5
toyota,passo,x f package,2006,Lahore,Petrol,1000.0,Automatic,250000,19,16.45
toyota,corolla,altis grande cvt-i 1.8,2016,Karachi,Petrol,1800.0,Automatic,88050,9,41.0
jac,t9,hunter,2025,Karachi,Diesel,2000.0,Automatic,80,0,102.0
suzuki,swift,dlx automatic 1.3,2014,Islamabad,Petrol,1300.0,Automatic,91000,11,24.75
suzuki,ravi,euro ii,2015,Pattoki,Petrol,800.0,Manual,100000,10,6.25
suzuki,baleno,gti 1.6,2001,Lahore,Petrol,1600.0,Automatic,118528,24,11.35
toyota,vitz,fl 1.0,1999,Karachi,Petrol,1000.0,Automatic,128000,26,16.95
toyota,prius,s led edition 1.8,2014,Islamabad,Hybrid,1800.0,Automatic,143000,11,47.7
toyota,corolla,xli automatic,2018,Peshawar,Petrol,1300.0,Automatic,81,7,46.0
toyota,corolla,altis x automatic 1.6,2022,Mirpur A.K.,Petrol,1600.0,Automatic,59000,3,58.8
suzuki,mehran,vx euro ii limited edition,2015,Lahore,Petrol,800.0,Manual,50000,10,10.5
peugeot,2008,allure,2023,Karachi,Petrol,1200.0,Automatic,36000,2,57.75
honda,vezel,hybrid x,2017,Lahore,Hybrid,1500.0,Automatic,82157,8,56.9
hyundai,tucson,awd a/t ultimate,2022,Lahore,Petrol,2000.0,Automatic,65000,3,76.75
toyota,corolla,gli 1.3 vvti,2019,Karachi,Petrol,1300.0,Manual,76000,6,33.95
suzuki,mehran,vxr,2007,Islamabad,Petrol,800.0,Manual,85000,18,7.5
toyota,vitz,f 1.0,2006,Kohat,Petrol,1000.0,Automatic,174503,19,22.5
toyota,corolla,xli,2008,Burewala,Petrol,1300.0,Manual,111997,17,21.5
suzuki,cultus,vxl,2017,Wah cantt,Petrol,1000.0,Manual,81341,8,29.0
honda,city,1.2l cvt,2022,Multan,Petrol,1200.0,Automatic,42500,3,30.95
honda,city,1.3 i-vtec,2015,Islamabad,Petrol,1300.0,Manual,142000,10,32.0
toyota,yaris sedan,gli cvt 1.3,2021,Karachi,Petrol,1300.0,Automatic,100890,4,38.0
honda,civic,oriel prosmatec ug,2016,Karachi,Petrol,1800.0,Automatic,86000,9,36.3
suzuki,cultus,vxr,2020,Karachi,Petrol,1000.0,Manual,41000,5,28.5
honda,civic,oriel 1.8 i-vtec cvt,2018,Karachi,Petrol,1800.0,Automatic,43000,7,53.0
honda,city,1.2l cvt,2024,Lahore,Petrol,1200.0,Automatic,18000,1,48.85
toyota,yaris sedan,ativ cvt 1.3,2021,Lahore,Petrol,1300.0,Automatic,70000,4,44.0
kia,sportage,fwd,2021,Karachi,Petrol,2000.0,Automatic,25000,4,68.0
daihatsu,mira,x sa lll,2022,Karachi,Petrol,660.0,Automatic,11746,3,38.0
peugeot,2008,active,2023,Karachi,Petrol,1200.0,Automatic,13500,2,56.0
daihatsu,mira,l,2022,Lahore,Petrol,660.0,Automatic,31000,3,34.25
daihatsu,rocky,premium g,2020,Lahore,Petrol,1000.0,Automatic,20000,5,54.75
toyota,raize,z,2021,Lahore,Petrol,1000.0,Automatic,81000,4,58.5
toyota,vitz,f 1.0,2018,Faisalabad,Petrol,996.0,Automatic,75000,7,41.0
toyota,hilux,vigo champ g,2014,Karachi,Diesel,2500.0,Automatic,88000,11,63.75
suzuki,margalla,gl plus,1997,Peshawar,Petrol,1300.0,Manual,100000,28,10.0
honda,hr-v,e:hev,2025,Islamabad,Hybrid,1500.0,Automatic,25,0,97.75
